France,CP094,Recreational and cultural services,2020,21.66
France,CP0941,Recreational and sporting services,2020,10.02
France,CP09411,Recreational and sporting services - Attendance,2020,4.55
France,CP09412,Recreational and sporting services - Participation,2020,5.47
France,CP0942,Cultural services,2020,11.64
France,CP09421,Cinemas theatres concerts,2020,5.7
France,CP09422,Museums libraries zoological gardens,2020,0.76
France,CP09423,Television and radio licence fees subscriptions,2020,3.83
France,CP09424,Hire of equipment and accessories for culture ,2020,0.03
France,CP09425,Photographic services,2020,1.26
France,CP09429,Other cultural services,2020,0.06
France,CP095,Newspapers books and stationery,2020,13.79
France,CP0951,Books,2020,3.66
France,CP09511,Fiction books,2020,1.89
France,CP09512,Educational text books,2020,0.45
France,CP09513,Other non-fiction books,2020,1.14
France,CP09514,Binding services and E-book downloads,2020,0.18
France,CP0952,Newspapers and periodicals,2020,5.82
France,CP09521,Newspapers,2020,2.29
France,CP09522,Magazines and periodicals,2020,3.53
France,CP0953_0954,Miscellaneous printed matter; stationery and drawing materials,2020,4.32
France,CP0953,Miscellaneous printed matter,2020,0.73
France,CP0954,Stationery and drawing materials,2020,3.58
France,CP09541,Paper products,2020,1.1
France,CP09549,Other stationery and drawing materials,2020,2.48
France,CP096,Package holidays,2020,2.01
France,CP09601,Package domestic holidays,2020,0
France,CP09602,Package international holidays,2020,2.01
France,CP10,Education,2020,4.09
France,CP101,Pre-primary and primary education,2020,0.56
France,CP10101,Pre-primary education,2020,0
France,CP10102,Primary education,2020,0.56
France,CP102,Secondary education,2020,1.74
France,CP103,Post-secondary non-tertiary education,2020,0
France,CP104,Tertiary education,2020,1.79
France,CP105,Education not definable by level,2020,0
France,CP11,Restaurants and hotels,2020,89.93
France,CP111,Catering services,2020,70.39
France,CP1111,Restaurants cafés and the like,2020,58.55
France,CP11111,Restaurants cafés and dancing establishments,2020,57.78
France,CP11112,Fast food and take away food services ,2020,0.77
France,CP1112,Canteens,2020,11.84
France,CP112,Accommodation services,2020,19.54
France,CP11201,Hotels motels inns and similar accommodation services ,2020,9.62
France,CP11202,Holiday centres camping sites youth hostels and similar accommodation services ,2020,8.64
France,CP11203,Accommodation services of other establishments ,2020,1.29
France,CP12,Miscellaneous goods and services,2020,121.78
France,CP121,Personal care,2020,30.28
France,CP1211,Hairdressing salons and personal grooming establishments,2020,9.33
France,CP12111,Hairdressing for men and children ,2020,2.13
France,CP12112,Hairdressing for women ,2020,4.97
France,CP12113,Personal grooming treatments ,2020,2.23
France,CP1212_1213,Electrical appliances for personal care; other appliances articles and products for personal care ,2020,20.94
France,CP1212,Electrical appliances for personal care,2020,0.74
France,CP12121,Electric appliances for personal care ,2020,0.74
France,CP12122,Repair of electric appliances for personal care ,2020,0
France,CP1213,Other appliances articles and products for personal care ,2020,20.2
France,CP12131,Non-electrical appliances ,2020,1.46
France,CP12132,Articles for personal hygiene and wellness esoteric products and beauty products ,2020,18.74
France,CP123,Personal effects n.e.c.,2020,12.5
France,CP1231,Jewellery clocks and watches,2020,6.79
France,CP12311,Jewellery ,2020,5.31
France,CP12312,Clocks and watches ,2020,1.19
France,CP12313,Repair of jewellery clocks and watches ,2020,0.29
France,CP1232,Other personal effects,2020,5.71
France,CP12321,Travel goods ,2020,3.12
France,CP12322,Articles for babies ,2020,0.48
France,CP12323,Repair of other personal effects ,2020,0
France,CP12329,Other personal effects n.e.c. ,2020,2.1
France,CP124,Social protection,2020,24.68
France,CP12401,Child care services ,2020,2.07
France,CP12402,Retirement homes for elderly persons and residences for disabled persons ,2020,16.54
France,CP12403,Services to maintain people in their private homes ,2020,6.07
France,CP12404,Counselling ,2020,0
France,CP125,Insurance,2020,34.88
France,CP1252,Insurance connected with the dwelling,2020,7.85
France,CP1253,Insurance connected with health,2020,18.47
France,CP12532,Private insurance connected with health ,2020,18.47
France,CP1254,Insurance connected with transport,2020,8.56
France,CP12541,Motor vehicle insurance ,2020,8.56
France,CP12542,Travel insurance ,2020,0
France,CP1255,Other insurance,2020,0
France,CP126,Financial services n.e.c.,2020,4.52
France,CP12621,Charges by banks and post offices ,2020,4.52
France,CP12622,Fees and service charges of brokers investment counsellors ,2020,0
France,CP127,Other services n.e.c.,2020,14.93
France,CP12701,Administrative fees ,2020,1.63
France,CP12702,Legal services and accountancy ,2020,8.27
France,CP12703,Funeral services ,2020,2.55
France,CP12704,Other fees and services ,2020,2.48
